,기준_년분기_코드,행정동_코드,월_평균_소득_금액,음식_지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,총_직장_인구_수,총_상주인구_수,총_유동인구_수
6667,20221,11140520,5380521,2615752000,275,319,2,5,2,6,44,25547386665,564482,77533,2073,2332832
6668,20221,11140645,3566241,360740000,42,48,0,0,0,0,6,1167994550,39497,3104,14045,3269723
6669,20221,11170650,3682946,2573262000,160,165,3,5,2,3,5,5498064871,143627,13034,6926,2458747
6670,20221,11200580,3858472,76719000,13,13,0,0,0,0,0,253520684,8059,1688,15758,3075361
6671,20221,11215830,2999213,626883000,78,81,3,2,4,3,3,2694998575,79605,5005,25646,5532097
6672,20221,11230536,2894254,2100552000,359,380,2,6,2,7,21,15596846515,542853,23899,31118,14227402
6673,20221,11230560,3070695,1000089000,189,203,2,3,3,6,14,3913682865,137669,1537,30150,11158480
6674,20221,11230650,2863708,2194181000,305,335,2,6,2,7,30,12452827571,438793,10768,38693,8844722
6675,20221,11230710,3217279,1446384000,152,179,2,3,2,4,27,5553500756,206632,784,10447,4980832
6676,20221,11230730,3071586,233466000,50,55,0,0,4,2,5,1238226539,44711,4402,24296,5079630
6677,20221,11290555,3057377,1189148000,216,226,1,3,1,2,10,8028405855,284747,6459,23545,10047696
6678,20221,11290715,3294213,369142000,80,86,0,0,2,2,6,1372981795,40092,2594,26920,7032896
6679,20221,11290810,2864182,1320845000,187,204,2,3,0,0,17,10043307578,250599,3732,35589,10062873
6680,20221,11320513,2229423,352509000,86,88,0,0,3,3,2,2509526264,85307,775,14305,4153623
6681,20221,11380551,2481200,1511541000,188,208,1,3,2,5,20,6703660822,175089,2607,23146,7967560
6682,20221,11380625,2521877,1339800000,206,221,1,2,2,4,15,5216467003,165827,4694,46566,13081272
6683,20221,11380631,2637581,831813000,83,90,8,7,2,2,7,2751158385,92587,2475,27543,6815661
6684,20221,11380632,2635300,195719000,41,42,2,1,2,1,1,478589813,26619,1918,20812,3715492
6685,20221,11380690,4070863,2241799000,128,165,1,2,4,6,37,5902844482,234285,3595,57020,7641229
6686,20221,11410660,3093859,257419000,69,77,4,3,1,1,8,2130759876,51105,7584,22956,3895420
6687,20221,11410685,2874442,590884000,94,103,1,1,1,1,9,2524507640,76260,5835,26960,4579117
6688,20221,11410710,4005416,233167000,26,30,3,1,3,1,4,155602803,3513,1739,18445,2904309
6689,20221,11440600,3421062,836140000,130,145,3,5,1,1,15,3985695179,201900,5628,14388,7325154
6690,20221,11440700,2912810,832453000,114,124,2,3,3,4,10,2700587475,90610,5201,19023,6380099
6691,20221,11500535,3403390,1625229000,150,179,3,5,5,8,29,7274173844,224020,15368,31490,6766364
6692,20221,11500590,2398795,1058815000,136,152,4,6,2,3,16,4446303435,150055,2983,38372,8908745
6693,20221,11500630,3407916,1402943000,160,179,2,3,3,6,19,5664975482,175158,7575,44340,7595315
6694,20221,11530540,2888444,4097175000,326,400,2,8,1,5,74,22737794459,888674,52394,23853,7024556
6695,20221,11530720,2972418,944122000,120,144,2,3,3,4,24,5292589615,175007,7767,23146,4562820
6696,20221,11530770,2574851,606095000,111,120,3,3,0,0,9,2665122124,103132,4294,22669,3751304
6697,20221,11545630,2386851,647493000,190,199,3,6,2,3,9,4974270486,165249,4188,24503,6118377
